,GSM2810714_H5.Glom.LD_478,GSM2810715_H5.Glom.LD_479,GSM2810716_H5.Glom.LD_482,GSM2810738_H5.Glom.SLE401,GSM2810739_H5.Glom.SLE402,GSM2810740_H5.Glom.SLE404,GSM2810741_H5.Glom.SLE405,GSM2810742_H5.Glom.SLE406,GSM2810743_H5.Glom.SLE407,GSM2810744_H5.Glom.SLE408,GSM2810745_H5.Glom.SLE409,GSM2810746_H5.Glom.SLE410,GSM2810747_H5.Glom.SLE411,GSM2810748_H5.Glom.SLE412,GSM2810749_H5.Glom.SLE413,GSM2810750_H5.Glom.SLE414,GSM2810751_H5.Glom.SLE418,GSM2810752_H5.Glom.SLE419,GSM2810753_H5.Glom.SLE423,GSM2810754_H5.Glom.SLE430,GSM2810755_H5.Glom.SLE438,GSM2810756_H5.Glom.SLE440,GSM2810757_H5.Glom.SLE442,GSM2810759_H5.Glom.SLE445,GSM2810761_H5.Glom.SLE450,GSM2810762_H5.Glom.SLE451,GSM2810763_H5.Glom.SLE454,GSM2810764_H5.Glom.SLE462,GSM2810765_H5.Glom.SLE463,GSM2810766_H5.Glom.SLE464,GSM2810767_H5.Glom.SLE465,GSM2810768_H5.Glom.SLE466,GSM2810769_H5.Glom.SLE467,GSM2810793_H7.Glom.LD_974,GSM2810794_H7.Glom.LD_975,GSM2810795_H7.Glom.LD_976,GSM2810796_H7.Glom.LD_978,GSM2810797_H7.Glom.LD_979,GSM2810798_H7.Glom.LD_980,GSM2810799_H7.Glom.LD_981,GSM2810800_H7.Glom.LD_982,GSM2810801_H7.Glom.LD_983,GSM2810802_H7.Glom.LD_984,GSM2810803_H7.Glom.LD_985,GSM2810804_H7.Glom.LD_987,GSM2810805_H7.Glom.LD_988,GSM2810806_H7.Glom.LD_989,GSM2810807_H7.Glom.LD_990,GSM2810808_H7.Glom.LD_992,GSM2810809_H7.Glom.LD_993,GSM2810810_H7.Glom.LD_994
Activated B cell,0.249421365,0.184571236,0.293186954,0.335362877,0.284296519,0.204328902,0.341055128,0.265723402,0.345946699,0.903506617,0.352824784,-0.328581807,0.497154882,0.370840671,-0.272391298,-0.265443084,0.375098947,0.499700968,0.321461214,0.305066595,0.604500075,0.329657121,0.54305925,0.475188437,0.346831569,0.377647532,0.33385658,0.353548325,0.403397416,0.784124872,0.477126084,0.214207907,0.382130455,-0.600122945,-0.628258398,-0.363463909,-0.272005262,-0.489457444,-0.543157942,-0.393207311,-0.601390949,-0.36605638,-0.626837558,-0.43047891,-0.395022213,-0.492620872,-0.429588706,-0.501454448,-0.372305289,-0.366795235,-0.418447188
Activated CD4 T cell,-0.644074604,-0.339399907,-0.593572689,-0.339568056,0.282356001,-0.326625,-0.481296254,0.585110631,-0.467185236,0.705981301,0.328765088,0.395907681,0.349929051,0.423170215,-0.396765597,-0.281721066,0.232423264,-0.290425115,-0.52260762,0.514842378,0.513827205,0.466670529,-0.426740931,0.351339481,0.54805694,-0.391151296,0.37330671,0.233517369,-0.277774443,0.632584221,0.372796793,-0.401882704,0.533567239,-0.274795671,-0.330122435,-0.399403824,-0.219839839,-0.289549293,-0.402515153,-0.320508345,-0.43487747,-0.313803674,-0.401042063,0.208670931,0.164309283,-0.382676308,0.332902581,0.216271373,-0.293515785,0.198036078,-0.218301662
Activated CD8 T cell,-0.379925025,-0.393820158,-0.362137122,0.455976995,0.211994508,0.248933128,-0.258050604,0.476739983,-0.278892625,0.672507975,0.442283432,0.318855531,0.56865736,0.252361653,-0.186746452,-0.247479217,0.490270121,0.521642294,-0.261030912,0.319515593,0.608706312,0.279374617,-0.275037045,0.26829255,0.24450367,0.340233186,0.406370383,0.455060954,0.534332701,0.568067503,0.615345497,0.399927639,0.63806183,-0.373328779,-0.387569199,-0.52965159,-0.418083433,-0.356428307,-0.442356794,-0.49867078,-0.435016379,-0.401003719,-0.242160009,-0.445982625,-0.464924441,-0.393928015,-0.472177835,-0.232485596,-0.504360162,-0.521460493,-0.433221189
Central memory CD4 T cell,-0.474808748,-0.353900111,-0.438572336,0.319170863,0.331792742,-0.287866558,0.217593335,0.286139646,0.265621912,0.334660889,0.250854776,0.454249449,-0.210907167,0.265638087,-0.15952748,-0.155024511,-0.204507257,-0.325099361,-0.281278456,-0.360877495,0.265170522,0.244776571,0.178569533,0.227999434,0.245816542,-0.235035302,0.310207195,0.441879319,-0.26963304,-0.229991252,0.287418606,0.28217478,0.329079554,0.146720764,0.209627616,-0.347724762,-0.19813965,-0.201654428,0.203299118,-0.194607519,0.257716673,0.342022297,0.242546173,-0.211036065,-0.333646601,-0.181086217,0.249472653,0.20487733,-0.438627385,-0.298486211,-0.298875781
Central memory CD8 T cell,0.153798966,-0.241868991,-0.169395912,0.360073932,0.310470735,-0.164579197,0.259609857,0.27445355,0.362646415,0.340157325,0.412674102,0.406530335,0.355844208,0.356166794,0.207682906,0.303105784,-0.292839437,0.358344985,-0.256427123,0.325310666,0.264330341,0.396947676,-0.348074469,0.419302614,0.367885594,0.19220533,0.233530737,0.411045369,0.405344373,0.339678602,0.457940663,0.21205388,0.346836998,0.223283621,-0.395732954,-0.317053965,-0.317503063,-0.309651507,-0.373181025,-0.384496472,-0.343124353,-0.315222576,-0.266211515,-0.392759417,-0.418796979,-0.442192834,0.206842042,-0.324004304,-0.198259334,-0.428175091,-0.387337461
Effector memeory CD4 T cell,-0.442443431,-0.398577247,-0.426777639,-0.304632824,0.248162586,-0.392120892,-0.398910949,0.365425417,-0.369329363,0.415528918,-0.303677718,0.312198418,-0.284734296,-0.192592148,-0.643325611,-0.565624216,-0.311769363,-0.268193038,-0.543267432,0.225018602,0.328291768,0.222246059,-0.427219097,0.204222619,0.245270744,-0.207586563,0.316564455,0.305053764,-0.431212762,-0.227074368,-0.315653925,-0.395643535,0.19547382,0.181049219,0.25221079,0.296667072,0.286206717,0.271131567,0.234165673,0.35633754,0.154090032,0.239608352,0.39042917,0.324020615,0.295056509,0.345790943,0.225834753,0.319496305,0.378620772,0.407821656,0.285787188
Effector memeory CD8 T cell,-0.417264222,-0.473312179,-0.440788326,0.401022328,0.436351767,-0.43416186,0.221250839,-0.145669585,-0.222802083,0.467381815,0.45378782,0.445371542,0.224574093,-0.355674168,-0.265997555,0.251268747,-0.164847141,-0.441127137,-0.312449068,-0.405612657,-0.304624632,-0.375070078,-0.517585861,-0.215070644,0.36666187,-0.15767456,0.316854145,0.514660014,0.237475535,0.329230066,0.397216695,0.333913869,0.305375091,0.393397318,-0.171110638,0.233758608,0.16774123,-0.197247077,-0.197263706,-0.244176875,-0.214851357,-0.180698177,-0.209895051,0.283260017,-0.2524057,-0.254213555,-0.313873628,0.494049886,0.244620013,0.202317615,0.201192177
Gamma delta T cell,-0.554243429,-0.546037185,-0.453332531,-0.277565382,0.328450928,-0.208082186,-0.270989098,0.46789921,-0.312251302,0.41738617,0.337080339,0.491416367,0.333018244,0.369636731,-0.180922623,-0.351663039,0.186817994,0.302765389,-0.446930076,0.175434158,0.417713572,0.378624153,-0.372226024,0.49953565,0.412190533,0.158880129,0.418772371,0.380468,-0.258495296,0.277412922,0.407695656,0.203223767,0.48853237,0.260308496,-0.328697811,-0.220860609,-0.231723547,-0.291811988,-0.243901738,-0.446919998,-0.218997349,-0.286702846,-0.179996158,-0.190346249,-0.297732837,-0.301013642,-0.291520796,-0.210222117,-0.267184738,-0.245169538,-0.261298583
Immature  B cell,-0.538429829,-0.545789891,-0.592258234,0.587460567,0.588919493,-0.54759729,0.314229234,0.299787197,0.517118594,0.83413939,0.661563675,0.508785243,-0.348690332,0.438815915,0.306339606,-0.300495994,0.339562378,-0.427900434,-0.452276473,-0.299226619,0.291813954,0.282129926,-0.430506566,0.331754316,0.481651074,0.320884219,0.443615986,0.724877729,0.445657403,0.594814038,0.691283633,0.256031925,0.451474294,-0.512696542,-0.568238546,-0.531964621,-0.631115831,-0.308282966,-0.385137393,-0.54885607,-0.404015197,-0.27946505,-0.507929397,-0.307735929,-0.321170562,-0.370582161,0.379512742,-0.33545516,-0.3830569,-0.415827503,-0.303881364
Memory B cell,-0.245839151,0.268018101,-0.350148255,-0.569557726,-0.220646838,-0.313153129,0.282350006,0.303345675,-0.380458343,0.553326691,-0.435676522,-0.302564847,0.354494964,0.350824439,-0.442662981,-0.477781785,0.264743934,0.304521991,-0.528450238,0.406818169,0.389072498,0.349273494,-0.355474542,-0.279256919,-0.276012139,-0.269115745,0.279478162,-0.22432326,-0.301083992,0.528697884,-0.494731014,-0.556534215,0.316681889,-0.160223838,-0.241341367,0.343884592,-0.15357529,0.352691198,-0.175913913,0.250554692,-0.232604083,-0.161384008,0.345937089,0.245415136,0.212394108,-0.279885324,0.424694835,0.25842138,-0.27969612,-0.209369228,-0.396285343
